,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
289,c410fda5-a6db-4697-a7e3-6ed65601844d,angelakilab,3939.000,9539.834,586.202,4974.276,9539.834,4644.714,180.000,15.000,4188.474,3954.500,9282.613,1310.466,4989.750,9282.613,5368.877,180.000,15.000,4188.369,3850.000,10025.000,925.000,4954.806,10355.143,5014.002,163.363,15.748,4248.473
290,43b9b189-5221-46a0-928a-e137bc326534,angelakilab,3939.000,9769.825,885.571,3075.100,9769.825,6032.020,0.000,10.000,5218.453,3974.000,9451.886,1369.710,3110.100,9451.886,6516.158,0.000,10.000,5218.453,3867.197,10392.777,1675.000,3468.990,10812.384,6976.669,46.499,6.227,5333.135
291,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,cortexlab,6539.000,8619.871,285.782,5503.724,8619.871,4344.293,0.000,15.000,4188.474,6629.000,8650.230,332.000,6210.478,8650.230,5356.923,0.000,5.000,5042.322,6603.016,9285.504,425.000,6494.876,9233.958,5281.853,-25.485,1.413,4858.331
292,d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,cortexlab,4939.000,8159.890,235.361,5974.276,8159.890,4293.873,180.000,15.000,4188.474,5352.000,8384.361,332.000,5770.609,8384.361,5357.970,180.000,5.000,5043.372,4983.315,9238.188,475.000,5507.379,9349.975,5340.762,167.959,6.285,4895.179
293,2c401cbd-b95c-4ebe-8a83-92b55ab49542,cortexlab,3547.000,2640.110,2159.731,4541.900,2640.110,6059.961,180.000,15.000,4025.124,3343.300,2654.646,1653.324,4352.073,2654.646,5607.938,180.000,15.000,4081.249,3425.000,2375.000,2400.000,4119.292,3043.792,5652.655,136.072,16.509,3392.505
294,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,cortexlab,1733.000,7469.917,1460.151,1024.689,7469.917,5679.721,0.000,10.000,4278.607,1901.600,7354.094,1704.584,1079.029,7354.094,6604.830,0.000,10.000,4968.806,1525.000,7475.000,1575.000,1659.987,8067.886,6529.036,102.826,6.997,4991.213
295,68f06c5f-8566-4a4f-a4b1-ab8398724913,mrsicflogellab,6545.000,11379.761,960.151,7580.276,11379.761,5018.663,180.000,15.000,4188.474,6535.000,11389.880,342.504,7609.099,11389.880,4553.210,180.000,15.000,4345.542,6547.803,12448.177,1475.000,7194.919,12616.372,6288.898,165.430,7.907,4860.110
296,ee320f72-b613-4acd-b10d-3ceef332a949,mrsicflogellab,3926.000,8389.880,360.361,2809.790,8389.880,7009.883,0.000,10.000,6742.556,3942.000,8372.401,1571.496,3021.665,8372.401,7054.144,0.000,10.000,5559.357,3775.728,9295.600,475.000,2768.405,9145.069,5936.453,-8.499,10.564,5555.612
297,be76cfe3-b2bb-4358-956b-0fad07215972,mainenlab,6232.000,6549.954,360.361,4354.681,6549.954,6810.396,0.000,17.000,6717.683,6386.000,6531.555,493.765,4675.626,6531.555,6370.217,0.000,17.000,6120.300,6100.000,6150.000,475.000,4875.490,6372.424,5763.380,10.295,13.243,5432.850
298,f1c3cf0a-f3ad-479b-8dd2-7d60ab6d03ff,wittenlab,7109.000,10919.779,1310.992,8144.276,10919.779,5369.503,180.000,15.000,4188.474,5739.000,5400.000,332.000,5739.000,5400.000,332.000,0.000,0.000,0.000,7150.000,11050.000,1475.000,7997.266,11986.002,6431.051,132.151,14.292,5114.333
299,7d999a68-0215-4e45-8e6c-879c6ca2b771,mainenlab,3496.000,7239.926,509.521,4531.276,7239.926,4568.033,180.000,15.000,4188.474,3482.000,7244.526,627.168,4595.181,7244.526,4991.083,180.000,15.000,4503.657,3425.000,7400.000,475.000,4116.599,7093.597,4093.992,-156.105,11.806,3697.201
300,3eb6e6e0-8a57-49d6-b7c9-f39d5834e682,mainenlab,7982.000,7239.926,509.521,6946.724,7239.926,4568.033,0.000,15.000,4188.474,7969.000,7264.765,941.244,7024.052,7264.765,4645.650,0.000,15.000,3823.030,7875.000,7625.000,425.000,7079.372,7281.482,4507.800,-23.353,11.984,4173.762
